cdr type,cdr datetime,call duration,last calling cellid,user_id
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,2360232289363115828
MtSMSRecord,20180713112604,,,2879313300469950646
MtSMSRecord,20180713112604,,,2360232289363115828
MtSMSRecord,20180713112604,,,3519381954008273190
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,2360232289363115828
MoCallRecord,20180713112534,,12221.0,4146891345195815923
MtCallRecord,20180713112534,,,4146891345195815923
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112108,,22451.0,576752175435078372
MtCallRecord,20180713112108,,,576752175435078372
MtSMSRecord,20180713112604,,,3388885410516373073
MoCallRecord,20180713112549,,20204.0,7687734295493811975
MtCallRecord,20180713112549,,,7687734295493811975
MoCallRecord,20180713112549,,10213.0,4475046923300923016
MtCallRecord,20180713112549,,,4475046923300923016
MoCallRecord,20180713112335,,14226.0,8793492727843727132
MtCallRecord,20180713112335,,,8793492727843727132
MtSMSRecord,20180713112605,,,6647700916843399878
MoCallRecord,20180713112556,,12067.0,4938976766197268360
MtSMSRecord,20180713112605,,,3384066821637594455
MtSMSRecord,20180713112605,,,6820442458578500418
MtSMSRecord,20180713112605,,,6213509167247245458
MtSMSRecord,20180713112606,,,6820442458578500418
MoCallRecord,20180713112428,,12212.0,1214446345185987041
MtCallRecord,20180713112428,,,1214446345185987041
MtSMSRecord,20180713112604,,,7566424924061690786
MtSMSRecord,20180713112605,,,3384066821637594455
MoCallRecord,20180713112558,,12221.0,5693619060137771523
MtCallRecord,20180713112558,,,5693619060137771523
MtCallRecord,20180713112532,,,8549915709132431421
MoCallRecord,20180713112457,,34423.0,1857009206360081538
MtCallRecord,20180713112457,,,1857009206360081538
MoCallRecord,20180713112548,,12082.0,3982765234440961674
MtCallRecord,20180713112548,,,3982765234440961674
MtSMSRecord,20180713112605,,,3384066821637594455
MoCallRecord,20180713112553,,12143.0,3473498539335468724
MtCallRecord,20180713112553,,,3473498539335468724
MoCallRecord,20180713112505,,12042.0,226121132539055229
MtCallRecord,20180713112505,,,226121132539055229
MtSMSRecord,20180713112605,,,3384066821637594455
MoCallRecord,20180713112502,,10018.0,3795904725879147261
MtCallRecord,20180713112502,,,3795904725879147261
MoCallRecord,20180713112548,,14226.0,7127313919839796737
MtCallRecord,20180713112548,,,7127313919839796737
MtSMSRecord,20180713112605,,,3384066821637594455
MtSMSRecord,20180713112606,,,3384066821637594455
MoCallRecord,20180713112546,,14156.0,8385089967916764237
MoCallRecord,20180713112551,,20603.0,8220572589904558269
MtCallRecord,20180713112551,,,8220572589904558269
MoCallRecord,20180713112505,,20991.0,382070964567144267
MtCallRecord,20180713112505,,,382070964567144267
MtCallRecord,20180713112523,,,2795821987955345226
MoCallRecord,20180713112523,,40115.0,2795821987955345226
MtSMSRecord,20180713112605,,,3384066821637594455
MoCallRecord,20180713112426,,12021.0,7104806512700016685
MtCallRecord,20180713112426,,,7104806512700016685
MoCallRecord,20180713112442,,22371.0,2989935296428617673
MtCallRecord,20180713112442,,,2989935296428617673
MtCallRecord,20180713112548,,,7329096648161228971
MoCallRecord,20180713112549,,12067.0,8805623700713726643
MtCallRecord,20180713112549,,,8805623700713726643
MoCallRecord,20180713112548,,35336.0,7329096648161228971
MoCallRecord,20180713112539,,12192.0,5299835104411609793
MtCallRecord,20180713112539,,,5299835104411609793
MtSMSRecord,20180713112606,,,3384066821637594455
MoCallRecord,20180713110102,,22457.0,8255688775966826569
MtCallRecord,20180713110102,,,8255688775966826569
MoSMSRecord,20180713112606,,35255.0,2112126146183185775
MoCallRecord,20180713112600,,20362.0,7043987766031733192
MoCallRecord,20180713112514,,12042.0,5730394873616360492
MtCallRecord,20180713112514,,,5730394873616360492
MoCallRecord,20180713112545,,14242.0,7035735514531121390
MtCallRecord,20180713112545,,,7035735514531121390
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112605,,,2953580931019735356
IncGatewayRecord,20180713112541,,34133.0,5268708961979888635
